sim,population,hospitals,mobilehomes,psubstations,tors
344,112,0,0,0,1.0
345,368,0,0,0,1.0
346,0,0,0,0,0.0
347,640,0,0,0,2.0
348,47792,2,0,3,4.0
349,3104,0,0,0,2.0
350,0,0,0,0,0.0
351,1632,0,0,0,2.0
352,0,0,0,0,0.0
353,432,0,0,0,1.0
354,6896,0,25,2,5.0
355,816,0,0,0,2.0
356,1280,0,100,1,4.0
357,0,0,0,0,0.0
358,0,0,0,0,0.0
359,96,0,0,0,1.0
360,576,0,0,0,3.0
361,2064,0,125,1,3.0
362,848,0,0,0,7.0
363,624,0,0,0,1.0
364,3552,0,0,0,3.0
365,0,0,0,0,0.0
366,3968,0,75,0,2.0
367,1424,0,0,0,3.0
368,3376,0,25,1,3.0
369,0,0,0,0,0.0
370,128,0,0,0,1.0
371,0,0,0,0,0.0
372,3920,0,0,0,3.0
373,688,0,0,2,3.0
374,3744,0,0,2,2.0
375,1008,0,0,1,1.0
376,0,0,0,0,0.0
377,13792,0,175,4,4.0
378,4752,0,0,0,1.0
379,0,0,0,0,0.0
380,0,0,0,0,0.0
381,176,0,0,0,1.0
382,0,0,0,0,0.0
383,320,0,0,0,4.0
384,0,0,0,0,0.0
385,16,0,0,0,1.0
386,1056,0,0,0,2.0
387,2320,0,0,0,2.0
388,2128,0,0,3,3.0
389,12960,0,25,0,3.0
390,672,0,0,2,2.0
391,48,0,0,0,2.0
392,8432,0,125,4,1.0
393,864,0,75,0,4.0
394,4320,0,75,1,7.0
395,1056,0,0,0,2.0
396,224,0,0,2,2.0
397,608,0,0,3,4.0
398,0,0,0,0,0.0
399,4640,0,25,0,1.0
400,768,0,0,0,3.0
401,2640,0,0,0,3.0
402,736,0,0,1,2.0
403,0,0,0,0,0.0
404,736,0,0,1,1.0
405,0,0,0,0,0.0
406,256,1,0,1,1.0
407,544,0,0,1,2.0
408,944,0,0,0,2.0
409,3776,0,50,0,2.0
410,2672,0,0,0,2.0
411,208,0,0,0,1.0
412,960,0,0,0,2.0
413,416,1,75,2,2.0
414,816,0,0,1,1.0
415,576,0,0,0,2.0
416,64,0,0,0,1.0
417,0,0,0,0,0.0
418,0,0,0,0,0.0
419,5328,1,50,2,4.0
420,0,0,0,0,0.0
421,272,0,0,0,1.0
422,0,0,0,0,0.0
423,1760,0,0,0,1.0
424,0,0,0,0,0.0
425,240,0,0,0,1.0
426,2080,0,25,0,5.0
427,992,0,0,0,4.0
428,7280,0,175,4,5.0
429,336,0,0,0,1.0
430,640,0,0,0,2.0
431,13152,0,100,3,4.0
432,64,0,0,0,1.0
433,1536,0,50,2,3.0
434,0,0,0,0,0.0
435,240,0,0,0,1.0
436,0,0,0,0,0.0
437,1184,0,25,0,2.0
438,4224,0,0,0,4.0
439,1040,2,25,2,2.0
440,13536,3,0,8,1.0
441,288,0,25,0,1.0
442,848,0,0,0,2.0
443,576,0,0,0,5.0
444,96,0,0,0,1.0
445,8752,2,100,7,5.0
446,2704,0,75,0,5.0
447,896,0,0,1,2.0
448,1072,0,0,0,2.0
449,1632,0,0,0,1.0
450,0,0,0,0,0.0
451,1664,0,0,0,4.0
452,9280,0,0,1,9.0
453,0,0,0,0,0.0
454,2016,0,0,0,3.0
455,0,0,0,0,1.0
456,6560,0,0,2,2.0
457,3312,0,0,1,7.0
458,1472,0,0,1,6.0
459,8160,0,25,1,7.0
460,1536,0,0,0,3.0
461,3888,0,75,2,2.0
462,1040,0,0,0,3.0
463,2960,0,0,0,2.0
464,3264,0,25,2,1.0
465,0,0,0,0,0.0
466,1472,0,0,1,3.0
467,144,0,75,0,1.0
468,0,0,0,0,0.0
469,960,0,0,1,1.0
470,33872,0,300,4,7.0
471,976,0,0,0,5.0
472,1936,0,50,0,5.0
473,0,0,0,0,0.0
474,1616,2,275,0,1.0
475,1056,0,50,0,2.0
476,3056,0,0,0,1.0
477,560,0,0,1,1.0
478,384,0,0,0,1.0
479,736,1,25,1,1.0
480,1344,0,0,1,4.0
481,224,0,0,0,1.0
482,6960,0,75,0,3.0
483,3824,0,0,0,3.0
484,592,0,0,1,2.0
485,224,0,0,0,1.0
486,1488,0,0,0,2.0
487,48,0,0,0,1.0
488,0,0,0,0,1.0
489,11952,0,50,0,1.0
490,896,1,0,0,5.0
491,624,0,0,0,2.0
492,1040,0,25,0,2.0
493,14576,0,0,0,4.0
494,208,0,0,0,1.0
495,0,0,0,0,0.0
496,3088,0,25,1,1.0
497,0,0,0,0,0.0
498,640,0,0,1,2.0
499,240,0,0,0,1.0
500,10944,0,50,1,2.0
501,0,0,0,0,0.0
502,0,0,0,0,0.0
503,128,0,0,0,1.0
504,0,0,0,0,0.0
505,8368,0,0,0,3.0
506,0,0,0,0,0.0
507,9120,0,125,1,3.0
508,272,0,0,0,2.0
509,224,0,0,0,3.0
510,2352,0,0,1,6.0
511,112,0,0,0,1.0
512,6624,0,0,0,4.0
513,528,0,0,0,1.0
514,416,0,0,0,3.0
515,6656,0,0,3,5.0
516,0,0,0,0,0.0
517,32,0,0,0,1.0
518,2160,0,0,0,5.0
519,4576,0,50,2,3.0
520,704,0,0,0,1.0
521,288,0,0,0,1.0
522,384,0,0,2,2.0
523,2592,0,0,0,7.0
524,1040,0,0,0,3.0
525,6384,0,0,1,8.0
526,416,0,0,0,1.0
527,1472,0,0,1,4.0
528,368,0,0,0,1.0
529,20592,0,100,3,8.0
530,128,0,0,0,2.0
531,5344,0,25,3,7.0
532,4416,0,0,0,2.0
533,15456,0,125,1,2.0
534,400,0,0,1,1.0
535,192,0,0,0,1.0
536,1712,0,0,0,1.0
537,1056,0,25,0,4.0
538,0,0,0,0,0.0
539,1584,0,0,0,1.0
540,0,0,0,0,0.0
541,0,0,0,0,1.0
542,6896,2,25,6,2.0
543,18224,0,75,9,3.0
544,528,0,0,0,1.0
545,4000,0,75,3,6.0
546,864,0,25,0,2.0
547,1664,0,0,0,3.0
548,32,0,0,0,1.0
549,3904,1,50,1,7.0
550,592,0,0,0,2.0
551,1216,0,0,0,3.0
552,240,0,0,0,2.0
553,5296,0,150,4,6.0
554,0,0,0,0,0.0
555,1520,0,25,1,3.0
556,8512,0,25,1,4.0
557,32,0,0,0,1.0
558,688,0,0,0,1.0
559,368,0,0,0,1.0
560,1808,0,50,0,3.0
561,0,0,0,0,0.0
562,2272,0,0,0,3.0
563,2944,0,25,2,3.0
564,1440,0,0,0,2.0
565,976,0,0,0,3.0
566,3920,0,0,3,6.0
567,784,0,0,0,2.0
568,80,0,0,0,1.0
569,1952,0,0,0,2.0
570,128,0,0,0,1.0
571,0,0,0,0,0.0
572,0,0,0,0,0.0
573,9360,0,0,2,2.0
574,480,0,0,0,2.0
575,848,0,75,0,3.0
576,0,0,0,0,0.0
577,112,0,0,0,2.0
578,176,0,0,0,1.0
579,1584,0,0,2,3.0
580,368,0,0,0,1.0
581,1248,0,0,0,2.0
582,1376,0,25,1,3.0
583,304,0,0,0,1.0
584,0,0,0,0,0.0
585,576,0,0,0,1.0
586,2464,1,0,0,3.0
587,1824,0,0,0,2.0
588,336,0,0,1,2.0
589,880,0,0,0,1.0
590,272,0,0,0,2.0
591,3648,0,25,1,4.0
592,0,0,0,0,0.0
593,12576,3,175,11,4.0
594,7680,2,300,1,2.0
595,2384,0,25,0,3.0
596,288,0,0,0,3.0
597,160,0,0,0,3.0
598,464,0,0,0,1.0
599,1584,0,25,0,1.0
600,11936,0,0,2,3.0
601,64,0,0,2,1.0
602,2224,0,0,0,3.0
603,128,0,0,0,1.0
604,2688,0,0,0,3.0
605,8080,0,100,1,2.0
606,2608,0,0,1,1.0
607,832,0,0,0,1.0
608,496,0,0,0,2.0
609,144,0,0,0,1.0
610,2384,0,0,0,5.0
611,800,0,0,0,2.0
612,4288,0,250,1,5.0
613,36592,5,475,4,4.0
614,0,0,0,0,0.0
615,0,0,0,0,0.0
616,4112,0,0,0,2.0
617,528,0,0,0,1.0
618,5008,0,0,0,3.0
619,4240,0,75,0,3.0
620,464,0,0,0,3.0
621,608,0,0,0,2.0
622,2624,0,0,3,3.0
623,1024,0,0,2,2.0
624,592,0,25,0,2.0
625,8816,0,50,6,11.0
