sim,population,hospitals,mobilehomes,psubstations,tors
565,12400,0,175,18,17
566,24368,3,0,18,36
567,36640,2,0,17,33
568,6176,3,75,7,24
569,56768,1,375,21,42
570,44208,0,250,11,27
571,20128,0,25,6,9
572,14032,0,125,0,19
573,9872,1,0,6,25
574,1472,0,0,3,11
575,15680,1,75,7,23
576,21392,0,0,4,10
577,25088,2,25,16,30
578,14848,0,25,7,7
579,57968,1,225,27,33
580,4416,0,0,5,18
581,768,0,0,3,8
582,19824,0,75,2,12
583,45632,3,500,34,31
584,26432,1,125,4,18
585,2816,0,0,2,15
586,60560,4,425,31,24
587,3568,2,25,3,12
588,6880,0,50,1,11
589,8992,0,0,2,12
590,9264,1,0,11,10
591,7568,0,0,6,19
592,14128,0,75,9,10
593,44224,3,350,17,26
594,44480,2,375,12,37
595,62720,4,275,15,36
596,47984,5,425,19,51
597,33392,3,200,11,20
598,27072,0,75,6,16
599,19312,3,125,14,20
600,9824,3,0,6,22
601,9088,0,0,2,11
602,27440,1,0,7,18
603,20464,3,25,11,29
604,75760,0,175,8,18
605,49504,1,150,16,21
606,17904,0,0,4,11
607,29776,0,50,8,7
608,34752,3,400,6,9
609,102944,0,250,24,25
610,10176,1,175,11,19
611,57520,0,25,11,14
612,20000,1,0,14,39
613,38384,2,150,10,16
614,62272,1,50,11,10
615,47616,1,100,9,25
616,5072,0,0,3,12
617,22656,3,250,29,16
618,7600,0,0,5,25
619,20640,2,575,13,27
620,35744,0,150,12,19
621,7248,2,50,7,19
622,37408,0,325,13,21
623,50640,2,225,20,40
624,16496,2,350,15,49
625,123200,2,600,28,58
626,2240,0,50,2,5
627,49008,1,700,10,22
628,2656,0,0,2,7
629,7088,0,0,2,19
630,101456,3,100,21,23
631,47056,2,375,17,26
632,2608,0,0,2,12
633,34752,1,50,23,31
634,145840,1,750,22,33
635,45888,0,25,2,17
636,21968,2,50,9,38
637,22432,1,150,15,17
638,7792,1,0,6,16
639,5328,0,0,8,14
640,13680,0,425,13,39
641,18608,1,0,9,18
642,4848,0,0,4,10
643,23392,0,225,16,30
644,7248,2,350,10,14
645,19728,0,75,11,17
646,47616,3,250,11,25
647,3984,1,50,2,16
648,14096,0,100,12,21
649,98048,1,425,12,15
650,13600,0,150,2,20
651,50832,4,150,24,63
652,4304,0,125,5,13
653,68880,3,175,35,48
654,72240,4,225,24,23
655,2672,0,0,7,14
656,3200,1,0,4,15
657,17312,2,50,4,18
658,20672,0,125,9,12
659,7008,0,275,9,23
660,54896,1,25,15,25
661,25536,2,225,19,33
662,7056,0,0,2,12
663,3216,1,75,19,15
664,33136,0,400,7,5
665,20656,1,175,14,21
666,33648,1,300,19,19
667,170912,8,875,38,52
668,11984,1,0,12,15
669,66944,2,850,13,12
670,2640,1,75,7,15
671,41200,2,200,12,35
672,53040,1,650,23,19
673,12864,0,325,11,16
674,5344,0,25,1,13
675,15920,1,50,21,35
676,15008,0,25,12,26
677,7072,0,75,4,12
678,31664,1,400,11,21
679,18176,1,50,21,28
680,27232,3,325,12,35
681,12048,0,0,7,20
682,31328,3,225,9,22
