sim,population,hospitals,mobilehomes,psubstations,tors
316,81376,0,450,6,4.0
317,9536,0,300,9,16.0
318,0,0,0,0,0.0
319,3568,0,0,1,11.0
320,320,0,0,0,1.0
321,0,0,0,0,0.0
322,0,0,0,0,0.0
323,144,0,0,0,2.0
324,1088,0,0,0,3.0
325,1520,0,200,1,2.0
326,0,0,0,0,0.0
327,0,0,0,0,0.0
328,1200,0,0,0,8.0
329,720,0,0,0,4.0
330,208,0,0,1,2.0
331,4496,0,25,2,4.0
332,400,0,0,0,1.0
333,240,0,0,1,1.0
334,992,0,0,0,4.0
335,24608,0,0,0,2.0
336,832,0,0,0,2.0
337,368,0,0,0,1.0
338,1568,0,0,1,4.0
339,0,0,0,0,0.0
340,16,0,0,0,1.0
341,17024,0,0,1,3.0
342,1760,0,0,1,6.0
343,37184,0,250,4,5.0
344,1744,0,100,7,5.0
345,16,0,0,2,1.0
346,88352,5,900,18,11.0
347,592,0,0,0,1.0
348,25392,0,150,1,4.0
349,14848,2,275,4,5.0
350,1552,1,0,3,2.0
351,2736,0,0,0,7.0
352,1552,0,0,0,5.0
353,720,0,0,0,4.0
354,1264,0,0,1,4.0
355,0,0,0,0,0.0
356,112,0,0,0,1.0
357,4256,0,150,0,9.0
358,352,0,25,0,1.0
359,12512,0,100,1,2.0
360,560,0,0,1,2.0
361,48,0,0,0,1.0
362,976,0,0,1,3.0
363,14384,1,75,2,9.0
364,2048,0,0,5,5.0
365,4800,0,0,1,2.0
366,512,0,0,1,4.0
367,11424,0,0,5,32.0
368,288,0,0,0,1.0
369,1664,0,0,0,1.0
370,28064,1,0,6,10.0
371,112,0,0,0,1.0
372,3936,0,25,3,8.0
373,224,0,0,1,1.0
374,368,0,0,1,2.0
375,0,0,0,0,0.0
376,256,0,0,0,3.0
377,17424,0,225,1,7.0
378,560,0,0,0,2.0
379,208,0,0,0,1.0
380,544,0,0,0,4.0
381,4416,0,100,4,13.0
382,576,0,0,0,2.0
383,10880,2,175,5,8.0
384,8064,0,175,2,5.0
385,32,0,0,0,1.0
386,0,0,0,0,0.0
387,0,0,0,0,0.0
388,1552,0,0,0,3.0
389,2432,0,25,3,5.0
390,3696,0,25,1,12.0
391,0,0,0,0,0.0
392,1392,0,0,0,5.0
393,1840,0,75,2,5.0
394,0,0,0,0,0.0
395,208,0,0,0,2.0
396,64,0,0,0,1.0
397,432,0,0,0,2.0
398,0,0,0,0,0.0
399,2416,1,225,4,2.0
400,192,0,0,0,1.0
401,272,0,0,1,2.0
402,240,0,0,0,2.0
403,192,0,0,0,2.0
404,11904,1,250,2,2.0
405,96,0,0,0,1.0
406,928,0,25,0,2.0
407,79312,1,75,3,3.0
408,1040,0,0,0,2.0
409,336,0,0,1,1.0
410,15744,0,25,0,4.0
411,2880,0,0,0,6.0
412,80,0,0,0,1.0
413,3616,0,0,0,2.0
414,736,0,0,0,2.0
415,32048,0,100,0,3.0
416,176,0,0,0,1.0
417,2272,0,0,1,4.0
418,96,0,0,0,1.0
419,32,0,0,0,1.0
420,16304,0,25,1,11.0
421,560,0,0,2,1.0
422,0,0,0,0,0.0
423,272,0,0,1,2.0
424,976,0,0,0,4.0
425,2128,0,0,0,1.0
426,1024,0,0,1,4.0
427,480,0,0,0,4.0
428,4688,0,125,0,4.0
429,2944,0,150,0,6.0
430,0,0,0,0,0.0
431,2832,0,0,0,6.0
432,304,0,0,0,1.0
433,752,0,25,0,2.0
434,49584,1,25,7,6.0
435,1328,0,0,0,1.0
436,3920,0,0,0,3.0
437,63072,1,1075,8,14.0
438,7952,0,25,0,8.0
439,464,0,0,1,2.0
440,151168,5,25,25,14.0
441,272,0,0,0,3.0
442,4064,0,100,2,3.0
443,400,0,0,0,3.0
444,1024,0,0,1,4.0
445,256,0,0,0,1.0
446,144,0,0,0,1.0
447,1152,0,0,0,2.0
448,512,0,0,0,3.0
449,432,0,0,0,2.0
450,1616,0,25,2,4.0
451,5712,1,25,2,14.0
452,448,0,0,0,3.0
453,1744,0,0,0,6.0
454,480,0,0,0,2.0
455,0,0,0,0,0.0
456,1904,0,0,1,2.0
457,7568,0,0,1,5.0
458,272,0,0,0,3.0
459,2032,0,450,2,3.0
460,1872,0,25,0,5.0
461,1728,0,0,1,3.0
462,112,0,0,0,1.0
463,1248,0,0,0,5.0
464,4048,0,0,0,4.0
465,0,0,0,0,0.0
466,2864,0,0,2,4.0
467,2208,0,0,0,8.0
468,352,1,0,1,3.0
469,1504,0,75,4,4.0
470,2032,0,0,0,3.0
471,2816,0,0,2,2.0
472,864,0,200,1,2.0
473,3520,0,25,2,7.0
474,3552,0,400,0,2.0
475,2768,0,0,0,5.0
476,352,0,0,0,1.0
477,144,0,0,0,1.0
478,320,0,0,0,2.0
479,32,0,0,0,1.0
480,4448,0,0,0,4.0
481,3392,0,0,1,3.0
482,6464,0,0,0,4.0
483,10576,3,250,6,12.0
484,7328,0,50,3,9.0
485,80048,10,0,3,7.0
486,368,0,0,0,2.0
487,1424,0,75,5,4.0
488,48,0,0,0,1.0
489,64,0,0,0,2.0
490,2608,0,0,1,3.0
491,752,0,0,1,2.0
492,7200,0,125,1,4.0
493,1104,0,0,0,2.0
494,11392,0,0,0,2.0
495,1616,0,0,0,1.0
496,2560,0,75,3,5.0
497,1152,0,225,1,5.0
498,0,0,0,0,0.0
499,16864,2,1000,3,4.0
500,448,0,0,0,3.0
501,0,0,0,0,0.0
502,11056,0,325,4,6.0
503,9072,1,225,1,7.0
504,86976,1,475,8,11.0
505,272,0,0,0,2.0
506,2432,0,0,0,4.0
507,320,0,0,1,2.0
508,608,0,0,0,1.0
509,20448,0,100,2,6.0
510,5808,0,25,2,7.0
511,4272,0,0,0,3.0
512,816,0,100,0,3.0
513,41936,2,0,3,10.0
514,21216,0,75,3,8.0
515,768,0,0,2,1.0
516,3920,0,100,0,2.0
517,2992,0,25,4,3.0
518,608,0,0,0,1.0
519,22384,0,100,5,7.0
520,12448,1,50,6,13.0
521,1632,0,0,0,2.0
522,2864,0,0,0,6.0
523,6864,0,0,0,2.0
524,1216,0,0,1,4.0
525,128,0,0,0,1.0
526,5472,0,125,3,10.0
527,18176,4,0,10,6.0
528,3152,0,0,0,5.0
529,352,0,0,0,3.0
530,13520,3,325,2,10.0
531,0,0,0,0,0.0
532,784,0,0,0,2.0
533,0,0,0,0,0.0
534,432,0,0,0,1.0
